Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
6756153498,Mike Bloomberg,Mike Bloomberg 2020 Inc,61113409,179824
416707608450706,Tom Steyer,TOM STEYER 2020,9687496,3052
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,7540896,95233
124955570892789,Bernie Sanders,BERNIE 2020,6592055,17498
38471053686,Elizabeth Warren,"WARREN FOR PRESIDENT, INC.",3489548,13803
7860876103,Joe Biden,BIDEN FOR PRESIDENT,3007690,4424
1039701332716228,Pete Buttigieg,"PETE FOR AMERICA, INC.",2647964,41151
73970658023,International Rescue Committee,International Rescue Committee,2384263,1487
156968474833352,Stop Republicans,Stop Republicans,2356355,379
925007000949719,ExxonMobil,Exxon Mobil Corporation,1990083,1005
54684090291,Partnership for Drug-Free Kids,The National Center on Addiction and Substance Abuse with Facebook ad credits,1952892,129
302182941354,AARP Advocates,AARP,1947822,182
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",1827600,67078
425408274980132,Let's Be Honest,Priorities USA,1681908,3812
106927400764857,Team Mike 2020,Mike Bloomberg 2020 Inc,1318814,273
11131463701,truth,TRUTH INITIATIVE FOUNDATION,1251759,365
121388362246,Goldman Sachs,Goldman Sachs & Co.,1241895,80
202626512363,U.S. Census Bureau,U.S. Census Bureau,998903,365
127225910653607,PragerU,PragerU,913833,990
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,905226,1456
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),876413,1282
107858693983382,The GOP Shop,The GOP Shop,827411,1788
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,823194,174
1884107931849913,Republicans for the Rule of Law,Defending Democracy Together,803086,521
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,797420,527
20787991568,Senate Democrats,DSCC,771758,3085
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,767163,407
1025055787535714,A Case for Women,A Case for Women,750554,168
117580534956446,Kellogg's Frosted Flakes,Kellogg Company,747265,7
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,740949,5832
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",717472,200
92925746942,Judicial Watch,Judicial Watch,715070,471
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,706440,3308
104684067632334,Unite the Country,UNITE THE COUNTRY,697133,1723
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,688691,496
2352630938293825,Mytacticalpromos,Entremax,668406,114
112041183486666,Project Sunshine,ACRONYM,663526,208
55549065733,Voto Latino,VOTO LATINO INC.,657645,1664
7606381190,Amy Klobuchar,AMY FOR AMERICA,653884,1071
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,649334,5803
602714436529710,End Citizens United,END CITIZENS UNITED,638195,365
6204742571,Sierra Club,SIERRA CLUB,634897,1138
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,612461,1724
101181794707874,United Research Group,United Research Group,589992,9323
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,587000,1319
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,584706,130
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,583443,5756
1194865807192273,Conservative Gear,Outergoods LLC,572055,1531
6985452607,Brita USA,The Clorox Company,556832,25
25852730092,Care2,Care2 Inc,550238,931
159616034235,Walmart,WALMART INC.,537508,45
562149327457702,Andrew Yang,FRIENDS OF ANDREW YANG,536908,2699
30139072158,CARE,CARE,529520,667
717115395103069,PrintedKicks,Printed Kicks,516573,454
216397232833,Penzeys Spices,Penzeys Ltd,507658,889
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,506420,1856
345504286342057,Keeping America Great Again,RightWingGear.com,504009,30
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,502563,1116
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,486535,344
156994304362574,American Bridge,AMERICAN BRIDGE 21ST CENTURY,485313,278
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,484918,691
136299005939,Heifer International,HEIFER PROJECT INTERNATIONAL,484807,237
681626158940626,Mission Roll Call,Americas Warrior Partnership,480107,346
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,474131,5571
242077219243971,The Presidential Coalition,The Presidential Coalition,460133,922
9324910069,NRSC,NRSC,453407,1103
246323280108,American Medical Association (AMA),American Medical Association,452889,173
158791100909689,Concerned Veterans for America,Concerned Veterans for America,446192,508
110749446963570,Courier,Courier Newsroom,435043,288
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,426676,483
179204028758675,California Secretary of State,California Secretary of State,423911,123
260754507296508,The Voter Participation Center,Voter Participation Center,418854,8932
101183127996396,Four Is Enough,PACRONYM,417385,147
309308412520731,Sandy Hook Promise,Sandy Hook Promise,415737,1358
228754857151053,House Majority PAC,House Majority PAC,402151,299
174866249236469,Tulsi Gabbard,TULSI NOW,390502,2147
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",382341,135
383877235817031,Keep America Great,Keep America Great,376925,267
5435784683,Greenpeace USA,"GREENPEACE, INC.",361662,6005
2283535575207809,Ditch Mitch,DITCH FUND,348813,267
106787890912320,Persist 2020,PERSIST PAC,347718,123
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,345442,140
1883837055193241,Shield Republic,Shield Republic,339822,11552
1338822066131069,Women's March,Women's March,335244,1457
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,333091,322
8532248414,Wounded Warrior Project,"WOUNDED WARRIOR PROJECT, INC.",332333,294
261663760956534,America First Policies,America First Policies Inc,328108,89
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,327836,1327
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,325121,2689
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,324634,30
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,319476,3933
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,319232,179
15687409793,World Wildlife Fund,World Wildlife Fund,315221,288
239452426714,American Action Network,American Action Network,311894,379
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",310935,949
132492254050920,American AF,AAF Nation,309860,651
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,307041,89
203197030603239,8 Billion Trees,8 Billion Trees LLC,299551,202
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,297574,436
111182343682003,Certified CCW,CertifiedCCW.com,296680,260
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,296559,1461
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,296133,99
11791104453,NRDC,Natural Resources Defense Council,296107,1414
2353537341582545,Proud Patriots,"Unicorn Wealth, LLC",292913,2870
56680318666,Illinois Policy,Illinois Policy,283351,768
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,282218,2190
169294473121454,Policetees.com,PoliceTees.com,278516,1317
1487587521541634,President Donald Trump Fan Club,I Love My Freedom,274507,658
332716170522025,America First Action,America First Action,273500,99
123450447708791,Energy Upgrade California,California Public Utilities Commission,272212,191
202626512363,U.S. Census Bureau,These ads ran without a disclaimer,271067,248
109021767293838,Making Retirement Last,Making Retirement Last,265064,104
67945990059,The American Petroleum Institute,AMERICAN PETROLEUM INSTITUTE,260630,2337
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,260400,1000
121626482110,Operation Smile,"OPERATION SMILE, INC.",253547,717
1690071827911682,Cleancult,cleancult,252276,520
605168822998856,314 Action,314 ACTION FUND,244144,390
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,242779,209
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,241653,156
148060455834119,Yes on C For a Better SD,Yes! for a Better San Diego,240349,232
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",240278,1174
85452072376,Newsmax,Newsmax Media,239495,40
216235145056069,Stop The HIT,Stop The HIT Coalition,237083,127
305832706292882,American Gun Association,GunAssociation.org,232779,750
534897536611506,Nuclear Powers IL,Nuclear Powers IL,230955,326
140499052681592,Bank of the West,BANK OF THE WEST,230219,49
1010143499143169,Medicare Savings,Mayo Labs,228180,39
658739734196897,CVS Health,CVS HEALTH CORPORATION,224911,351
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),223947,474
944580302249505,NYC Human Resources Administration,NYC Human Resources Administration,222527,43
113697513378680,Clean Energy Matters,Clean Energy Matters,221554,52
101018071405012,Benefits USA,Brooklyn Kathleen Foster,221193,14
106700630683805,Bill Conway,Friends of Bill Conway,219931,104
7263476274,Mercy Corps,Mercy Corps,219606,471
1109093812491437,Blaze Media,Blaze Media LLC,218646,248
431891506856669,Dove,Unilever,218560,5
108478014052676,Center Action Now,Center Action Now,217526,123
209516845093,NRDC Action Fund,NRDC Action Fund,217471,1171
213792049451918,Stand For America Now,Stand For America Inc,217315,210
46093654473,National Republican Congressional Committee,NRCC,215654,413
8325302025,Friends of the Earth U.S.,Friends of the Earth,212353,762
21559454473,FAIR,FEDERATION FOR AMERICAN IMMIGRATION REFORM,210804,98
293225127381200,Patriot Depot,The Patriot Depot,209692,671
2602473023098666,Democratic Polling Center,Democratic Governors Association,206184,200
142992759853421,Be A Hero,BE A HERO PAC,203472,2710
1596671280578981,Schools & Communities First,Schools and Communities First,201811,160
197052454200,Toyota USA,Toyota Motor North America Inc.,201076,206
258848839880,Horizon Blue Cross Blue Shield of New Jersey,Horizon Blue Cross Blue Shield of New Jersey,200073,190
58433611572,Seventh Generation,Seventh Generation,198201,3
1691667177798461,Brut,Brut,198137,1105
137569740231452,Respect The Look,Respect The Look,197933,7810
18982436812,ACLU,American Civil Liberties Union,196443,803
196382377057315,Learn Our History,Learn Our History,195127,149
237477017606,Club for Growth,Club for Growth,192729,41
15041226930,Oxfam,"OXFAM AMERICA, INC.",191798,378
393932827634250,Dissent Pins,Common Practice,191478,443
23875187730,Feeding America,Feeding America,187242,470
101750841237552,The Roundup,"PETE FOR AMERICA, INC.",186420,2937
8047221596,Save the Children US,"SAVE THE CHILDREN FEDERATION, INC.",183422,248
104745474214057,HRA - OTC Birth Control,Corey Francis Mc Govern,182078,23
108683323959169,Watercooler Politics,Organize for Justice,179661,522
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,178602,375
332669333486567,California Republican Party,CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,177915,1815
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,176447,2183
17911165812,Covenant House International,Covenant House,174509,490
104006944272732,Honest Arizona,Advancing AZ,174036,119
262536810935097,Housing Is A Human Right,AIDS HEALTHCARE FOUNDATION,174020,350
1852520761657982,4ocean,4ocean,173705,187
57259033959,AARP,AARP,171666,652
95356211637,Ben Ferguson,Ben Ferguson show,171310,82
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,171164,726
110061623807565,Kelly Loeffler,Georgians for Kelly,170765,117
101590954650349,Health Enrollment Programs,JOCELYN HSU-YU KO,169657,298
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,169461,5906
170582513587720,Liberty Through Wealth,The Oxford Club,168478,56
1502654549792632,Protect Our Care,Sixteen Thirty Fund,168417,173
1422088741363688,NYC Department of Homeless Services,NYC Department of Homeless Services,167995,8
70795936969,Children International,CHILDREN INTERNATIONAL,165458,102
118502801658228,Young Kim,Young Kim for Congress,164592,278
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",162026,767
152065518140304,Wildlife Conservation Society,WILDLIFE CONSERVATION SOCIETY,160032,105
1145019702185006,Alliance for Safety and Justice,Alliance for Safety and Justice,159580,104
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,157243,175
2267405033373814,Doctor Patient Unity,Doctor Patient Unity,156495,381
111428049989,Cal Cunningham,CAL FOR NC (US SENATE),154933,1195
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,154752,148
173837496125511,Conscious Step,Conscious Step,152807,134
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",152517,44
104599691003943,Cenk Uygur for Congress,Cenk for Congress,150449,138
587492097959347,Orange County Registrar of Voters,Orange County Registrar of Voters,149777,121
104259624495026,Term Limits Super PAC,Term Limits SuperPAC,149410,33
404929222888251,Conservation Colorado,Conservation Colorado,147871,732
1374134752633656,New Health Plans,Shop Insurance Plans,147135,63
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,146231,281
95001097200,National Association of Manufacturers,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA INC.,146000,64
321250352104571,Valerie Plame,VALERIE PLAME FOR CONGRESS,145693,372
104325844436320,US Dollar Reports,US Dollar Reports,145577,31
1600352356914768,PushBlack,PushBlack,144340,496
119746614730099,Reliant Energy ®,"Reliant Energy Retail Services, LLC",140697,393
641136109294222,Georgia Life Alliance,Georgia Life Alliance Committee,140198,711
167586229923327,World Food Program USA,World Food Program USA,139989,568
49651563727,Live Action,Live Action,139737,122
36474716066,Color Of Change,COLOROFCHANGE.ORG,139714,163
27544763621,Prison Fellowship,Prison Fellowship,139487,2031
8501031021,VoteVets.org,"VoteVets Action Fund, Inc.",139427,94
1204754733024419,People's Power Grab,ACRONYM,136178,56
107346437493190,GTFO,PACRONYM,135643,28
662962894077729,The Well News,The Well News,134181,174
43287633515,Alliance for Climate Education,Alliance for Climate Education,133631,244
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",133444,1076
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",133163,8432
385473284886474,Hillsdale College,HILLSDALE COLLEGE,132458,371
88224465289,Dropps,"Dropps (Cot'n Wash, Inc.)",131815,7
344690446467832,The Copper Courier,Courier Newsroom,131549,451
1438808983108348,BOLD PAC,CHC BOLD PAC,131254,66
25055115099,Intuit,INTUIT INC.,130423,568
203805062990264,Ben Shapiro,The Daily Wire,129451,294
101464861365288,Americans Networking Together,Lucy  Tran,129095,598
102618334589524,California for Mike,Mike Bloomberg 2020 Inc,128793,32
106111517569034,TX for Mike,Mike Bloomberg 2020 Inc,128710,34
107953199261156,ifaw,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",127984,1179
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,126993,224
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",126849,121
162676813937511,Dan Forest,Committee to Elect Dan Forest,125561,479
114501575391943,Compare Medicare Quotes,Benepath,125487,135
611368759382797,For Life,These ads ran without a disclaimer,125000,25
112739086975178,Big Tent Project,Big Tent Project Fund,124005,1807
111929803714895,SN Research,Story Network Foundation,123687,654
108926330594488,Colorado's Health Care Future,"Partnership for America’s Health Care Future Action, Inc.",123132,2203
1779384292184667,Uber Drivers Community,BLOCK,122935,18
5633824547,FreedomWorks,"FREEDOMWORKS, INC.",121425,1505
77130778113,Coalition for Medicare Choices,The Coalition for Medicare Choices,121260,207
300719666712627,Moms Demand Action for Gun Sense in America,Everytown for Gun Safety Action Fund Inc,120750,10
17203056985,Partners In Health,Partners In Health,119549,964
53674651369,Susan B. Anthony List,Susan B. Anthony List Education Fund,119264,62
1479923688811438,Geothermal,Geothermal Exchange Organization,119149,228
103156981159122,Beyond Patriots,Beyond Patriots LLC,118736,154
618480098621142,Social Security Event,Robert Jared Wilkins,117587,312
105756057589080,The Lincoln Project,The Lincoln Project,116808,82
2625909757635564,Bombshell,These ads ran without a disclaimer,116363,51
369218473147423,Grove Collaborative,These ads ran without a disclaimer,116159,33
220934044722029,Florida Crystals Corporation,FLORIDA CRYSTALS CORPORATION,115572,63
14084625156,Susan G. Komen,Susan G. Komen,115159,52
1470486296612700,Kim Foxx for Cook County State's Attorney,Friends for Foxx,114965,43
116534199732974,USA Carry Online,USA Carry Online,114530,591
294196590710262,FWD.us,FWD.us,113110,586
1999055133489428,New Yorkers United for Justice,The Dream Corps,112133,42
100726981494487,Californians For Quality Schools,Californians For Quality Schools,111921,26
109784800371914,Protect Kids: Fight Flavored E-Cigarettes,TOBACCO-FREE KIDS ACTION FUND,111069,468
109111900634787,Reverend Raphael Warnock,Warnock for Georgia,110966,500
193618220508,LIFE Today,LIFE Outreach International,110756,135
104456297747947,FL for Mike,Mike Bloomberg 2020 Inc,109959,17
151525932186806,When Democrats Turn Out,WHEN DEMOCRATS TURN OUT PAC,109690,95
1311148455643746,SD Deserves Better than Newland Sierra,"Golden Door Properties, LLC",109630,14
23790541544,Democrats,DCCC,108239,628
101137981379219,Digital Programs Helping All,Michael Yao Yang,107804,453
338530640123780,Irresistible,Focus Features,107590,9
461204744067686,Family Protection Association,Family Protection Association,107559,903
265268336865693,Do Amore,Do Amore Limited Company,107434,22
161453087348302,The Committee to Defend the President,THE COMMITTEE TO DEFEND THE PRESIDENT,107071,151
29727753421,New Jersey Education Association,NEW JERSEY EDUCATION ASSOCIATION,107045,37
116748296398796,American Savings,Rachael Anne Ginzel,106176,4
100562019990818,U.S. Term Limits,U.S. Term Limits Inc.,106093,46
107150944064036,Winning for Alabama,Winning for Alabama,105650,83
679192075585170,Strong Schools Maryland,"FUND FOR EDUCATIONAL EXCELLENCE, INC.",104779,377
8057376739,The Nature Conservancy,Nature Conservancy,104443,196
101018071405012,Benefits USA,Dollar Informer,104339,31
97830335456,Patagonia,"PATAGONIA, INC.",103791,378
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",103163,172
357251385085313,Alliance to End Plastic Waste,Alliance To End Plastic Waste,102452,13
237851052935808,Power of Wind,American Wind Energy Association,102337,170
1413858742171052,Melinda Gates,Melinda Gates,102333,113
104233224437484,Colorado for Mike Bloomberg,Mike Bloomberg 2020 Inc,101624,22
182997028419749,Florida Education Association (FEA),Florida Education Association,101267,148
277005566267077,Blueland,These ads ran without a disclaimer,100680,78
8492293163,Environmental Defense Fund,Environmental Defense Fund,100445,2237
105998470924827,VA for Mike,Mike Bloomberg 2020 Inc,100344,19
77852784853,Absolut,Pernod Ricard USA,100295,22
105953917589790,TN for Mike,Mike Bloomberg 2020 Inc,99412,27
465483726908192,iVote,IVote Civic Education Fund,98853,139
106559767516191,My Online Cert,My Online Cert,98801,202
101452724694651,N.C. for Mike,Mike Bloomberg 2020 Inc,98564,22
203330919857759,All On The Line,National Redistricting Action Fund,97957,327
263210730984251,We Are Great Again Pac,WE ARE GREAT AGAIN PAC,97947,88
25998443394,MedPage Today,"EVERYDAY HEALTH, INC.",97697,102
6713653788,Gary Peters,PETERS FOR MICHIGAN,97271,246
341881063685,"Imprimis, a Publication of Hillsdale College",HILLSDALE COLLEGE,96820,105
111428049989,Cal Cunningham,DSCC,95742,563
866779926670025,Citizens for Tobacco Rights,Citizens for Tobacco Rights,94846,707
2373657556181451,United For Oklahoma,United for Oklahoma,94562,139
18479402361,No Kid Hungry,No Kid Hungry,93874,1054
20876805343,March of Dimes,MARCH OF DIMES INC.,93699,289
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",93522,1075
181183059253295,Dorsal Bracelets,Dorsal Bracelets,93518,335
324558475104607,United We Dream Action,United We Dream Action,93462,798
108177347380482,Market Watch,Smart Market Tips,93190,175
111428049989,Cal Cunningham,CAL FOR NC,93143,752
788632858205691,Zero Waste Face,Zero Waste Face,92821,37378
1487587521541634,President Donald Trump Fan Club,Making Web LLC,92552,33
115379705206001,U.S. Department of Homeland Security Blue Campaign,DHS Blue Campaign,92486,245
36872302227,Cory Booker,CORY 2020,91254,1023
379742336079446,Royce West,ROYCE WEST FOR U.S. SENATE,90749,63
101930744573551,Local American News and Sport,Local Home Programs,90558,184
496696933682736,Jeff Merkley,JEFF MERKLEY FOR OREGON,89758,790
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,89654,1107
107477257479850,GA for Mike,Mike Bloomberg 2020 Inc,89537,18
19972147679,SEIU,SEIU,89027,292
138456673550026,Need To Impeach,"Need to Impeach, www.needtoimpeach.com, not authorized by any candidate or candidate's committee.",88875,478
711478725532801,Civiqs,Civiqs,88658,44
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",88411,981
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",87691,699
143329509024,Citizens Against Lawsuit Abuse,Citizens Against Lawsuit Abuse,85680,236
1799282383731277,TwoSeventy,Alexander Jared Deutsch,85624,105
314499212242,Pfizer,Pfizer Inc.,85545,183
102184387969761,The Last Bull Market,The Finance Advocate,84738,75
216311481960,Bill Gates,Bill Gates,82221,197
9062006483,REI,"RECREATIONAL EQUIPMENT, INC.",82073,168
106068970822975,Safe Schools & Healthy Learning,Californians for Safe Schools & Healthy Learning,81888,131
100137754724934,Trump 2020 Supporters,Proud Right Winger,81617,501
110031723895365,Living As One Now,Lynn Nguyen,81466,56
117762158270896,Washington State Department of Health,Washington State Department of Health,81344,52
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,80788,71
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",80181,47
456966364681704,Winning For Women,Winning for Women,80057,1036
58433611572,Seventh Generation,These ads ran without a disclaimer,80000,2
420785874975425,Conservative Institute,The Conservative Institute,79979,575
102617961152741,Barbara Bollier,Bollier for Kansas,79307,367
435917576827538,Minnesotans for Line 3,Minnesotans for Line 3,79121,88
6236054211,Brady,Brady Campaign to Prevent Gun Violence,79083,170
100725174853421,Kitchen Table Conversations,Kitchen Table Conversations PAC,78924,31
100262941392365,Debt Council,Debt Council,78646,233
109998633853995,MA for Mike,Mike Bloomberg 2020 Inc,78425,28
118852951506737,Industry City,Industry City,78268,36
49560242814,Consumer Energy Alliance,CONSUMER ENERGY ALLIANCE,78005,107
34362997676,United States Holocaust Memorial Museum,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,78004,404
13063797831,Ben Ray Luján,PEOPLE FOR BEN,78001,152
373981446795978,16 Counties Coalition,Maine Momentum,77990,328
28896772146,San Diego Zoo,ZOOLOGICAL SOCIETY OF SAN DIEGO,77702,72
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,77454,527
102711087850827,Hablemos Claro USA,Priorities USA,77358,122
1228396643984955,Michelle Steel,Michelle Steel for Congress,77208,381
108049693995845,Rep Republicans,Rep Republican,76797,2940
269479249997,National Shooting Sports Foundation | NSSF,National Shooting Sports Foundation,76639,325
304750332920654,Carl DeMaio,CARL DEMAIO FOR CONGRESS,76553,167
8291852604,Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,76327,37
102026767904506,Matern 2020,Matern 2020,75916,244
613025455812051,Child Abuse Victims Lawsuit Information,Law Scout,75901,8
160389977329803,ATTN:,ATTN: INC.,75723,66
7192716362,Amnesty International USA,Amnesty International USA,75469,870
473191156175163,EDF Action,Environmental Defense Action Fund,75284,120
107041534212234,Texas Justice & Public Safety PAC,Texas Justice & Public Safety PAC,75067,16
44357790109,Republic Services,Republic Services,74384,481
271953073708695,National Senior Benefits,National Senior Benefits,73673,230
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,73315,255
102789161114613,Dollar Informer,Brooklyn Kathleen Foster,73301,21
358113240871900,Nuclear Energy Institute,"NUCLEAR ENERGY INSTITUTE, INC.",73094,81
111824001908,Hakeem Jeffries,JEFFRIES FOR CONGRESS,72294,236
102988607933383,Gascon for Los Angeles,"Run, George, Run: George Gascon for LA DA 2020",72211,455
102616831317107,Carolina Blue,CAROLINA BLUE,71999,10
788394134539871,USPS Business,United States Postal Service,71515,45
1836138529938551,Greater Half,Greater Half,71192,676
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",71178,241
1449461518652183,4Patriots,4Patriots LLC,71101,143
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",71091,2548
105992427463747,Wise Money,Bonnie Lynn Grant,71069,479
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,70868,2753
405469100189512,Still My President - Donald Trump,Red State Politics LLC,70797,654
167819383282739,ProgressVA,Progress Now,70642,76
393656900730519,Rishi Kumar for Congress 2020,Rishi Kumar,70319,103
152926718105068,FloWater,FloWater,70277,238
248262725706461,Power The Future,Power The Future Inc,70168,21
309993142375589,Joe Kennedy III,KENNEDY FOR MASSACHUSETTS,70048,4939
112463982125496,Maryland State Education Association,MARYLAND STATE EDUCATION ASSOCIATION,69408,697
309890072778981,Wisconsin Homeowners Alliance,"Wisconsin Homeowners Alliance, Inc.",69250,7
59826489083,SELC,SOUTHERN ENVIRONMENTAL LAW CENTER,69059,1065
580610428636345,Fight for $15,Fight for $15,68933,66
950998258312654,Knowhere,"Knowhere, Inc.",68772,566
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,68719,6
110177119192569,Knightscope,William Li,68626,85
348677952672482,Retire Well,Ford Mcneill Stokes,68575,227
267180743723148,National Geographic Society,National Geographic Society,68325,188
132066233534659,Healthcare Education Project,Healthcare Education Project,68026,17
598924810530984,Keeping America Great,FamTeeWorld,67867,11
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Support Fund Inc,67760,410
253791814655400,Doug Collins,COLLINS FOR CONGRESS,67641,243
114603933406390,New York for Mike,Mike Bloomberg 2020 Inc,67423,17
113238240192880,AZ for Mike,Mike Bloomberg 2020 Inc,66680,18
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,66150,260
488460945012999,President Trump 2020,Trump Collections,66116,20
285907905427022,Bet on NY,FanDuel and Draft Kings,65875,15
157546398049625,Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",65836,50
2095417444068117,For Michigan's Future,Priorities USA and For Our Future Action Fund,65819,12
644655489007210,The Solar Institute,The Solar Institute,65801,806
102909941095087,Stop Biased Banking,Center for Freedom and Prosperity,65571,107
105793837533545,Virginia Works,American Culture,65558,115
103064354426677,Know Your Electeds,Spectrum News,65427,2963
1646140305404745,Thiru for Baltimore,THIRU VIGNARAJAH FOR BALTIMORE,64884,51
1676291615740480,Rental Affordability Act,Homeowners and Tenants United,64765,243
19746387261,Humane Society International,Humane Society International,64473,21
409786973169158,Tru Earth,These ads ran without a disclaimer,64232,35
129914120385683,Families USA,Families USA,64200,14
100852874648291,Mighty Michigan,American Culture Project,64095,17
7833534974,Florida Democratic Party,Florida Democratic Party,64084,92
21472760578,C-SPAN,C-SPAN,64073,51
103009087770334,Get Trumpcare Now,The Stuart Agency,64040,3866
103320021207391,Vote NO on Measure C,Michael McConnell,64033,51
7962229886,Environmental Working Group,ENVIRONMENTAL WORKING GROUP,63797,356
1029414573827063,Fight Back,Fight Back Fund,63783,32
427290978110426,Backpage Trafficking,X Social Media LLC,63743,7
150454645013752,Colorado Secretary of State's Office,"The Office of Jena Griswold, Colorado Secretary of State",63640,50
441242156439675,Jessica Cisneros for Congress,JESSICA CISNEROS FOR CONGRESS,63351,186
2385326588383789,Move Health Care Forward NJ,Move Health Care Forward NJ Inc.,63260,723
347844152343949,Sara Jacobs,Sara Jacobs for Congress,63134,36
1837115116571746,Topic,"First Look Productions, Inc",63020,57
922528564440886,George Flinn,FRIENDS OF GEORGE FLINN 2020,62974,45
